t	Vm run 00	Vm run 01
112.025	-61.3403417034	-43.6233083
112.05	-61.3368043595	-42.51875917
112.075	-61.3339244568	-41.1425939
112.1	-61.3316883309	-39.376480772
112.125	-61.3300755302	-37.0284850
112.15	-61.3290596183	-33.77781835
112.175	-61.3286086399	-29.0879297
112.2	-61.3286856975	-22.143436438
112.225	-61.3292500455	-12.1703180
112.25	-61.3302587622	0.1287928141
112.275	-61.331670815	11.402353437
112.3	-61.3334490839	18.4843728257
112.325	-61.3355609366	21.23967179
112.35	-61.3379784259	21.072073224
112.375	-61.3406788335	19.24294730
112.4	-61.3436450597	16.5769287669
112.425	-61.3468655358	13.57417835
112.45	-61.3503337404	10.522278552
112.475	-61.3540475171	7.571882105
112.5	-61.3580083405	4.7897357466	
112.525	-61.3622206102	2.195426733
112.55	-61.3666910019	-0.215228274
112.575	-61.3714278903	-2.45673345
112.6	-61.3764408427	-4.5468762337
112.625	-61.3817401847	-6.50337929
112.65	-61.3873366321	-8.342504209
112.675	-61.3932409856	-10.0786183
112.7	-61.399463882	-11.7242023062
112.725	-61.4060155965	-13.2900360
112.75	-61.4129058889	-14.78543752
112.775	-61.4201438887	-16.2184973
112.8	-61.4277380133	-17.596287893
112.825	-61.4356959125	-18.9250364
112.85	-61.4440244372	-20.21026699
112.875	-61.4527296233	-21.4569122
112.9	-61.4618166897	-22.670188160
112.925	-61.4712900416	-23.8536115
112.95	-61.4811532787	-25.01065889
112.975	-61.4914092053	-26.1445293
113.0	-61.5020598419	-27.258113821
113.025	-61.5131064405	-28.3544269
113.05	-61.5245495055	-29.43559347
113.075	-61.53638882	-30.503440244
113.1	-61.5486234813	-31.559488399
113.125	-61.5612519426	-32.6049177
113.15	-61.5742720627	-33.64054213
113.175	-61.5876811604	-34.6667962
113.2	-61.6014760722	-35.684396403
113.225	-61.6156532127	-36.6926623
113.25	-61.6302086327	-37.69083049
113.275	-61.6451382959	-38.6778246
113.3	-61.660436753	-39.6522979348
113.325	-61.6760948336	-40.6127253
113.35	-61.6920982477	-41.55748491
113.375	-61.7084279563	-42.4848726
113.4	-61.7250610399	-43.393176630
113.425	-61.7419713417	-44.2807398
113.45	-61.7591301313	-45.14599486
113.475	-61.7764299244	-45.9874814
113.5	-61.7936917299	-46.800479786
113.525	-61.810721252	-47.58411256
113.55	-61.8273575674	-48.33835128
113.575	-61.8434951063	-49.0632165
113.6	-61.8590695857	-49.758733670
113.625	-61.8740413987	-50.4250260
113.65	-61.8883883365	-51.06239990
113.675	-61.9021048242	-51.6713939
113.7	-61.91520273	-52.2527929694	
113.725	-61.9277110599	-52.807613	
113.75	-61.9396739852	-53.33706274
113.775	-61.9511476792	-53.8424908
113.8	-61.9621966754	-54.325325930
113.825	-61.9728903207	-54.7870178
113.85	-61.9833000533	-55.22898445
113.875	-61.9934972726	-55.6525674
113.9	-62.0035515329	-56.059000334
113.925	-62.0135290301	-56.4493870
113.95	-62.0234914192	-56.82469326
113.975	-62.0334949694	-57.1857464
114.0	-62.043590038	-57.53324383	-
114.025	-62.0538226076	-57.8677653
114.05	-62.0642342753	-58.18978873
114.075	-62.0748616035	-58.4997068
114.1	-62.085735705	-58.7978436862
114.125	-62.0968822775	-59.0844706
114.15	-62.1083219876	-59.35982079
114.175	-62.1200710501	-59.6241002
114.2	-62.1321418732	-59.877500979
114.225	-62.1445436914	-60.1202003
114.25	-62.1572831423	-60.35236949
114.275	-62.1703647669	-60.5741809
114.3	-62.1837914309	-60.785815864
114.325	-62.1975646731	-60.9874698
114.35	-62.2116849903	-61.17935549
114.375	-62.2261520692	-61.3617029
114.4	-62.2409649749	-61.534759217
114.425	-62.2561223025	-61.6987862
114.45	-62.2716229798	-61.85405876
114.475	-62.2874666602	-62.0008447
114.5	-62.3036535619	-62.139412367
114.525	-62.3201446528	-62.2700340
114.55	-62.3368639029	-62.39298829
114.575	-62.3537237777	-62.5085606
114.6	-62.3706486269	-62.617043713
114.625	-62.3875869795	-62.7187351
114.65	-62.4045149337	-62.81393548
114.675	-62.4214328203	-62.9029453
114.7	-62.4383588405	-62.986061846
114.725	-62.4553225291	-63.0635755
114.75	-62.472359339	-63.135767911
114.775	-62.4895066435	-63.2029089
114.8	-62.5068010095	-63.265255741
114.825	-62.5242764562	-63.3230515
114.85	-62.5419558605	-63.37652586
114.875	-62.5598424602	-63.4258947
114.9	-62.5779183923	-63.471362549
114.925	-62.5961501474	-63.5131229
114.95	-62.6144970875	-63.55136040
114.975	-62.632892147	-63.58624910
115.0	-62.6512379091	-63.617950602
115.025	-62.6694249296	-63.6466138
115.05	-62.6873544794	-63.67237730
115.075	-62.7053004165	-63.6946413
115.1	-62.7129338915	-63.712978998
115.125	-62.7141687494	-63.7273644
115.15	-62.7118813508	-63.73803364
115.175	-62.7078310476	-63.7453230
115.2	-62.7031113197	-63.749573848
115.225	-62.6984107888	-63.7510917
115.25	-62.6941599991	-63.75013878
115.275	-62.6906204502	-63.7469385
115.3	-62.687941854	-63.7416853921
115.325	-62.6862002093	-63.7345524
115.35	-62.6854235431	-63.72569781
115.375	-62.6856094136	-63.7152683
115.4	-62.6867367899	-63.703401666
115.425	-62.6887740502	-63.6902274
115.45	-62.6916842914	-63.67586766
115.475	-62.6954287774	-63.6604171
115.5	-62.6999691061	-63.643482283
115.525	-62.7052685045	-63.6247072
115.55	-62.7112925358	-63.60395011
115.575	-62.7180094197	-63.5812605
115.6	-62.7253901037	-63.556809145
115.625	-62.733409909	-63.53082558
115.65	-62.7420483459	-63.50355655
115.675	-62.7512880182	-63.4752412
115.7	-62.761113559	-63.4460988613
115.725	-62.7715108989	-63.4163231
115.75	-62.7824668376	-63.38608178
115.775	-62.7939688119	-63.3555170
115.8	-62.8060047738	-63.324748098
115.825	-62.8185631218	-63.2932914
115.85	-62.8316326563	-63.26068379
115.875	-62.8452025608	-63.2267120
115.9	-62.8592624043	-63.191390575
115.925	-62.8738021509	-63.1548774
115.95	-62.8888123224	-63.11740162
115.975	-62.9042841962	-63.0792138
116.0	-62.9202098909	-63.040558358
116.025	-62.9365823096	-63.0016571
116.05	-62.9533949859	-62.96270372
116.075	-62.9706418943	-62.9238612
116.1	-62.9883172709	-62.885196858
116.125	-63.0064154675	-62.8466975
116.15	-63.0248447272	-62.80832274
116.175	-63.043273624	-62.77004369
116.2	-63.0614256524	-62.731859897
116.225	-63.0791636358	-62.6937986
116.25	-63.0964746855	-62.65590780
116.275	-63.1134270801	-62.6182380
116.3	-63.1301300508	-62.580830989
116.325	-63.1467053234	-62.5437177
116.35	-63.1632700356	-62.50692312
116.375	-63.1799280218	-62.4704698
116.4	-63.1967664646	-62.434381425
116.425	-63.2138556487	-62.3986831
116.45	-63.2312503195	-62.36340119
116.475	-63.2489917242	-62.3285622
116.5	-63.2669100732	-62.294192070
116.525	-63.2844923119	-62.2603147
116.55	-63.3011850042	-62.22695223
116.575	-63.3166091103	-62.1941235
116.6	-63.3306069777	-62.161844881
116.625	-63.3432007562	-62.1301298
116.65	-63.354528514	-62.098989116
116.675	-63.3647882523	-62.0684310
116.7	-63.3738185746	-62.038461724
116.725	-63.3813530849	-62.0090852
116.75	-63.3872534527	-61.98030387
116.775	-63.3915589679	-61.9521178
116.8	-63.3944426162	-61.924524614
116.825	-63.3961502008	-61.8975743
116.85	-63.3969521587	-61.87128893
116.875	-63.3971128225	-61.8456675
116.9	-63.3968736755	-61.820695895
116.925	-63.3964458434	-61.7963521
116.95	-63.3960079635	-61.77261123
116.975	-63.3957069354	-61.7494466
117.0	-63.3956182013	-61.726832483
117.025	-63.3957222562	-61.7047436
117.05	-63.3959234744	-61.68315650
117.075	-63.3960917083	-61.6620484
117.1	-63.3961024921	-61.641397967
117.125	-63.3958635099	-61.6211844
117.15	-63.3953255963	-61.60138841
117.175	-63.3944818754	-61.5819914
117.2	-63.3932044381	-61.562976666
117.225	-63.391259051	-61.54432886
117.25	-63.3884042934	-61.52603467
117.275	-63.3844710781	-61.5080826
117.3	-63.3793934119	-61.490463446
117.325	-63.3732021429	-61.4731695
117.35	-63.3659652411	-61.45619527
117.375	-63.3577553872	-61.4395368
117.4	-63.3486496462	-61.423191812
117.425	-63.3387383845	-61.4071592
117.45	-63.3281298953	-61.39143513
117.475	-63.3169485554	-61.3760073
117.5	-63.3053179558	-61.360854659
117.525	-63.2933476012	-61.3459497
117.55	-63.2811297732	-61.33126389
117.575	-63.2687430665	-61.3167711
117.6	-63.2562577149	-61.302451792
117.625	-63.2437398976	-61.2882937
117.65	-63.2312542097	-61.27429272
117.675	-63.2188645275	-61.2604510
117.7	-63.2066338219	-61.246776937
117.725	-63.1946234411	-61.2332823
117.75	-63.1828922344	-61.21998196
117.775	-63.1714957413	-61.2068839
117.8	-63.160379563	-61.193982369	
117.825	-63.1493964463	-61.1812552
117.85	-63.1383822604	-61.16866857
117.875	-63.1272142554	-61.1561824
117.9	-63.115833742	-61.1437566944
117.925	-63.1042550887	-61.1313556
117.95	-63.092541142	-61.118950942
117.975	-63.0807827881	-61.1065226
118.0	-63.0690844012	-61.094059663
118.025	-63.0575536957	-61.0815525
118.05	-63.0466350831	-61.06898865
118.075	-63.0362876066	-61.0563520
118.1	-63.0265481608	-61.043627679
118.125	-63.0174472052	-61.0308047
118.15	-63.0089885316	-61.01787956
118.175	-63.001150971	-61.00485620
118.2	-62.993898407	-60.9917464575
118.225	-62.9871900383	-60.9785687
